id,baseMean,log2FoldChange,lfcSE,stat,padj,padj_rounded,ensembl_gene_id,ensembl_transcript_id,symbol,entrezgene_id,labels,labels_2,Low_dose_rep_1,Low_dose_rep_2,High_dose_rep_1,High_dose_rep_2
ENSMUST00000067760.10,51.54988438,9.088682123,1.728908171,5.256891186,2.28E-05,0,NA,ENSMUST00000067760,Nadk2,NA,Up,Induced,0,0,126,91
ENSMUST00000101010.2,3199.832958,1.412802182,0.228546053,6.181695827,1.87E-07,0,NA,ENSMUST00000101010,Ahnak2,NA,Up,No,1714,1680,4527,5200
ENSMUST00000111210.8,4575.400823,-1.528534976,0.208936882,-7.315773857,1.43E-10,0,NA,ENSMUST00000111210,Mndal,NA,Down,No,7307,5927,2509,2428
ENSMUST00000128258.1,5476.611748,1.348180147,0.225769893,5.971478873,6.13E-07,0,NA,ENSMUST00000128258,Ahnak2,NA,Up,No,2787,3200,8076,8390
ENSMUST00000163609.7,67.93903355,9.486602346,1.730002371,5.483577657,7.63E-06,0,NA,ENSMUST00000163609,Tgfb1i1,NA,Up,Induced,0,0,95,187
ENSMUST00000178429.7,19.06030174,-7.763011735,2.224994454,-3.489002734,0.017185572,0.017,NA,ENSMUST00000178429,Gm3187,NA,Down,Inhibited,55,20,0,0
ENSMUST00000181080.3,58.21678609,-3.54455141,0.983721545,-3.603206036,0.012208396,0.012,NA,ENSMUST00000181080,Cabp4,NA,Down,No,119,90,4,15
ENSMUST00000181754.7,1330.550007,1.283036922,0.35823784,3.581522608,0.012985437,0.013,NA,ENSMUST00000181754,Pdpn,NA,Up,No,620,878,2349,1623
ENSMUST00000184965.1,1497.771701,1.302228339,0.263857559,4.935345965,9.92E-05,0,NA,ENSMUST00000184965,Gm2260,NA,Up,No,966,719,2391,2083
ENSMUST00000193754.1,77.1511627,-2.073793078,0.618637097,-3.352196445,0.02508338,0.025,NA,ENSMUST00000193754,Srsf1,NA,Down,No,119,123,30,32
ENSMUST00000195169.7,631.3509608,1.579244703,0.418803476,3.770849079,0.007405833,0.007,NA,ENSMUST00000195169,Comt,NA,Up,No,235,376,886,1090
ENSMUST00000213864.1,848.4288702,1.087954579,0.299607266,3.631269002,0.011285984,0.011,NA,ENSMUST00000213864,Rcor3,NA,Up,No,618,441,1286,1136
ENSMUST00000214302.1,906.164228,1.003973276,0.302797322,3.315661011,0.027609768,0.028,NA,ENSMUST00000214302,Mical3,NA,Up,No,625,548,1114,1411
ENSMUST00000214949.1,401.808299,-2.487495053,0.714703339,-3.480458138,0.017568715,0.018,NA,ENSMUST00000214949,NA,NA,Down,No,1005,338,186,72
ENSMUST00000215634.1,428.1655245,-2.007595348,0.507214938,-3.958076146,0.004013344,0.004,NA,ENSMUST00000215634,AA467197,NA,Down,No,930,416,191,167
ENSMUST00000217048.1,121.6661092,10.3274435,1.568528247,6.584161629,1.77E-08,0,NA,ENSMUST00000217048,Rcor3,NA,Up,Induced,0,0,259,251
ENSMUST00000229241.1,2104.632762,-2.401577098,0.371689981,-6.461237112,3.65E-08,0,NA,ENSMUST00000229241,Tgtp1,NA,Down,No,4301,2619,858,554
ENSMUST00000229243.1,553.0822193,-1.439969711,0.424580098,-3.391514863,0.022534663,0.023,NA,ENSMUST00000229243,Irgm1,NA,Down,No,921,656,401,228
ENSMUST00000229303.1,63.36439851,-4.869242219,1.545503974,-3.150585377,0.042346361,0.042,NA,ENSMUST00000229303,NA,NA,Down,No,193,49,9,0
ENSMUST00000229329.1,1148.930061,-1.438641014,0.34876738,-4.124929953,0.002260872,0.002,NA,ENSMUST00000229329,NA,NA,Down,No,2043,1239,714,587
ENSMUST00000229469.1,4282.454495,-1.80899571,0.321462475,-5.62739309,3.76E-06,0,NA,ENSMUST00000229469,Slfn8,NA,Down,No,8145,4885,2191,1804
ENSMUST00000229587.1,1676.419842,2.030456134,0.212817264,9.540843144,2.30E-18,0,NA,ENSMUST00000229587,Trem2,NA,Up,No,653,628,2825,2818
ENSMUST00000229642.1,70.85979769,-9.656847467,1.708012924,-5.653849178,3.29E-06,0,NA,ENSMUST00000229642,Psme2,NA,Down,Inhibited,97,176,0,0
ENSMUST00000229701.1,944.2158841,2.935526209,0.535129003,5.485642144,7.56E-06,0,NA,ENSMUST00000229701,Kazn,NA,Up,No,137,283,2325,1206
ENSMUST00000229815.1,2104.632762,-2.401577098,0.371689981,-6.461237112,3.65E-08,0,NA,ENSMUST00000229815,Tgtp2,NA,Down,No,4301,2619,858,554
ENSMUST00000229901.1,282.342862,-1.929008429,0.508526324,-3.793330532,0.006877133,0.007,NA,ENSMUST00000229901,Mir326Ê,NA,Down,No,535,339,159,89
ENSMUST00000229993.1,109.4941158,-1.756134944,0.568777078,-3.087562793,0.049525158,0.05,NA,ENSMUST00000229993,NA,NA,Down,No,199,131,56,49
ENSMUST00000230082.1,70.85979769,-9.656847467,1.708012924,-5.653849178,3.29E-06,0,NA,ENSMUST00000230082,Psme2,NA,Down,Inhibited,97,176,0,0
ENSMUST00000230356.1,1390.270578,-2.851879909,0.423814297,-6.72907905,7.17E-09,0,NA,ENSMUST00000230356,Mir674,NA,Down,No,3191,1596,414,298
ENSMUST00000230378.1,63.36439851,-4.869242219,1.545503974,-3.150585377,0.042346361,0.042,NA,ENSMUST00000230378,NA,NA,Down,No,193,49,9,0
ENSMUST00000230442.1,553.0822193,-1.439969711,0.424580098,-3.391514863,0.022534663,0.023,NA,ENSMUST00000230442,Irgm1,NA,Down,No,921,656,401,228
ENSMUST00000230467.1,35.34494481,-8.653951667,2.105320297,-4.110515478,0.002372316,0.002,NA,ENSMUST00000230467,NA,NA,Down,Inhibited,119,21,0,0
